 NGEN-2906 | TBD | 3111
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
 NGEN-4182 |  Sprint 37 | 4007
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
 NGEN-4416 |  Sprint 41 | 4208
 NGEN-4423 |  Sprint 40 | 4218
 NGEN-4447 |  Sprint 40 | 4222
 NGEN-4492 |  Sprint 40 | 4224 - ADD NOTE TO RELEASE NOTES THAT THIS DEFECT SHOULD STAY OPEN AND ASSIGNED TO RMAS SO THEY CAN PUT THE LONG TERM FIX IN TO ALLOW HYPHENS
 NGEN-4444 |  Sprint 41 | 4221
 NGEN-4576 |  Sprint 41 | 4219
 NGEN-4630 | TBD | 4404
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
 NGEN-4638, NGEN-4625 |  Sprint 41, Sprint 41 | 43974397
 NGEN-4602 |  Sprint 41 | 4398
 NGEN-2419 |  Sprint 27 | 4390, 4401
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
 NGEN-4626 |  Sprint 41 | 4416
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
 NGEN-4038 |  Sprint 37 | 3928
 NGEN-3840 |  Sprint 37 | 3685
 NGEN-3406 |  Sprint 37 | 3297
 NGEN-3829 |  Sprint 37 | 3688
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
 NGEN-2935 |  Sprint 28 | 4092
 NGEN-3976 |  Sprint 35 | 3918
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
 NGEN-2419 |  Sprint 27 | 4390, 4401
 NGEN-4598 |  Sprint 41 | 4349
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
 NGEN-4627 |  Sprint 41 | 4389
 NGEN-4613 |  Sprint 41 | 4371
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
 NGEN-4623 |  Sprint 41 | 4395
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
 NGEN-3831 |  Sprint 37 | 3689
 NGEN-3832 |  Sprint 37 | 3690
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
 NGEN-3830 |  Sprint 37 | 3686
 NGEN-3828 |  Sprint 37 | 3691
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
 NGEN-3833 |  Sprint 37 | 3692
 NGEN-3834 |  Sprint 37 | 3694
 NGEN-4595 |  Sprint 41 | 4366
 NGEN-3835 |  Sprint 37 | 3693
NO JIRA FOUND | NO SPRINT FOUND | NO QC #
