SE-EI-001.010.001.002.001.001  |  NGEN-4637 | TBD
SE-WE-004.021.001  |  NGEN-1482 | TBD
SE-WE-004.018.001  |  NGEN-1482 | TBD
SE-WE-004.019.001  |  NGEN-1482 | TBD
SE-WE-004.020.001  |  NGEN-1482 | TBD
SE-EI-001.018.004.001-  |  NGEN-3008 | TBD
SE-EI-012.006.001  |  NGEN-4637 | TBD
SE-MSE-014.001.001  |  NGEN-3167 |  Sprint 31
SE-EI-001.010.002.001  |  NGEN-4637 | TBD
SE-EI-001.018.004.001.001  |  NGEN-3008 | TBD
SE-O65-008.001.001  | NO JIRA FOUND | NO SPRINT FOUND
SE-EI-008.024.002  |  NGEN-4384, NGEN-4228 |  Sprint 40, Sprint 37
SE-EI-005.016.006.004.001.002.002  |  NGEN-4517 |  Sprint 40
SE-MSE-008.003.003.004.001  |  NGEN-4561 |  Sprint 41
SE-EI-005.017.002  |  NGEN-4459 |  Sprint 41
SE-EI-005.018.002  |  NGEN-4445 |  Sprint 41
SE-EI-012.006.002  |  NGEN-4637 | TBD
SE-EI-001.004  |  NGEN-4637 | TBD
SE-EI-001.018.004.001.002  |  NGEN-3008 | TBD
SE-EI-001.010.002  |  NGEN-4637 | TBD
SE-WE-004.021.002  |  NGEN-1482 | TBD
SE-WE-004.019.002  |  NGEN-1482 | TBD
SE-WE-004.020.003  |  NGEN-1482 | TBD
SE-WE-004.018.003  |  NGEN-1482 | TBD
SE-WE-004.018.002  |  NGEN-1482 | TBD
SE-WE-004.020.002  |  NGEN-1482 | TBD
SE-WE-004.021.004  |  NGEN-1482 | TBD
SE-EI-001.018.004  |  NGEN-3008 | TBD
SE-EI-001.018.004.001.004  |  NGEN-3008 | TBD
SE-EI-001.018.004.001.003  |  NGEN-3008 | TBD
SE-WE-004.021.003  |  NGEN-1482 | TBD
SE-EI-013.006  |  NGEN-3806 | TBD
SE-WE-004.018.004  |  NGEN-1482 | TBD
SE-EI-012.006  |  NGEN-4637 | TBD
SE-065-008.001  | NO JIRA FOUND | NO SPRINT FOUND
SE-MSE-008.003.003.004  |  NGEN-4561 |  Sprint 41
SE-WE-004.023  |  NGEN-1482 | TBD
SE-WE-004.019  |  NGEN-1482 | TBD
SE-WE-004.022  |  NGEN-1482 | TBD
SE-WE-004.020  |  NGEN-1482 | TBD
SE-WE-004.021  |  NGEN-1482 | TBD
SE-PM-007.001  | NO JIRA FOUND | NO SPRINT FOUND
SE-EI-020.003.009.001  |  NGEN-4635 | TBD
SE-WE-014.002.005.001.001  |  NGEN-4634 | TBD
SE-WE-004.024.001  |  NGEN-1482 | TBD
SE-WE-014.002.005.001  |  NGEN-4634 | TBD
SE-EI-007.001.001.001  |  NGEN-4636 | TBD
SE-MSE-003.009.002.001  |  NGEN-4556 |  Sprint 41
SE-MSE-015.006.001-  |  NGEN-4635 | TBD
SE-EI-007.003.001  |  NGEN-4636 | TBD
SE-MSE-035.002.005.001  |  NGEN-4634 | TBD
SE-EI-017.001.063.001  |  NGEN-4578 | TBD
SE-EI-017.001.063.001.001  | NO JIRA FOUND | NO SPRINT FOUND
SE-EI-017.001.062.001  |  NGEN-4578 | TBD
SE-WE-001.004.002  |  NGEN-4374 |  Sprint 39
SE-EI-017.001.063.004.001  |  NGEN-4578 | TBD
SE-MSE-035.002.005.002  |  NGEN-4634 | TBD
SE-EI-017.001.062.002  |  NGEN-4578 | TBD
SE-EI-017.001.063.002  |  NGEN-4578 | TBD
SE-EI-007.003.002  |  NGEN-4636 | TBD
SE-EI-007.001.001.002  |  NGEN-4636 | TBD
SE-WE-014.002.005.002  |  NGEN-4634 | TBD
SE-WE-014.002.005.003  |  NGEN-4634 | TBD
SE-WE-004.019.003  |  NGEN-1482 | TBD
SE-EI-020.003.007.002  |  NGEN-4635 | TBD
SE-EI-020.003  |  NGEN-4635 | TBD
SE-EI-017.001.063.003  |  NGEN-4578 | TBD
SE-MSE-035.002.005.003  |  NGEN-4634 | TBD
SE-MSE-035.002.005.004  |  NGEN-4634 | TBD
SE-EI-017.001.063.004  |  NGEN-4578 | TBD
SE-WE-014.002.001.005  |  NGEN-4634 | TBD
SE-WE-004.018.005  |  NGEN-1482 | TBD
SE-WE-004.020.004  |  NGEN-1482 | TBD
SE-WE-004.021.005  |  NGEN-1482 | TBD
SE-MSE-035.002.005.005  |  NGEN-4634 | TBD
SE-MSE-010.001.005  |  NGEN-4636 | TBD
SE-EI-017.001.063.005  |  NGEN-4578 | TBD
SE-WE-014.002.001.006  |  NGEN-4634 | TBD
SE-WE-004.021.006  |  NGEN-1482 | TBD
SE-WE-004.018.006  |  NGEN-1482 | TBD
SE-WE-004.021.014  |  NGEN-1482 | TBD
SE-WE-012.007  | NO JIRA FOUND | NO SPRINT FOUND
SE-WE-004.021.009  |  NGEN-1482 | TBD
SE-WE-004.018.007  |  NGEN-1482 | TBD
SE-EI-020.003.009  |  NGEN-4635 | TBD
SE-EI-017.001.063  |  NGEN-4578 | TBD
SE-WE-004.021.015  |  NGEN-1482 | TBD
SE-WE-006.027.003  |  NGEN-4197 | TBD
SE-EI-017.001.062  |  NGEN-4578 | TBD
SE-WE-004.024  |  NGEN-1482 | TBD
SE-PM-001.009.001.003.001  |  NGEN-3464 | TBD
SE-EI-017.001.064  |  NGEN-4578 | TBD
SE-WE-003.053.001  |  NGEN-4197 | TBD
SE-WE-003.052.001  |  NGEN-4197 | TBD
SE-WE-006.027.003.001  |  NGEN-4197 | TBD
SE-MSE-010.001.004.001-Saved  |  NGEN-4636 | TBD
SE-EI-017.001.063.005.001  |  NGEN-4578 | TBD
SE-EI-017.001.063.005.002  |  NGEN-4578 | TBD
SE-EI-017.001.063.007.001  |  NGEN-4578 | TBD
SE-EI-017.001.063.003.001  |  NGEN-4578 | TBD
SE-WE-006.027.003.002  |  NGEN-4197 | TBD
SE-WE-003.053.002  |  NGEN-4197 | TBD
SE-EI-017.001.063.005.003  |  NGEN-4578 | TBD
SE-WE-003.052  |  NGEN-4197 | TBD
SE-PM-001.009.001.003  |  NGEN-3464 | TBD
SE-EI-017.001.063.005.004  |  NGEN-4578 | TBD
SE-WE-004.020.005  |  NGEN-1482 | TBD
SE-EI-017.001.063.007  |  NGEN-4578 | TBD
SE-EI-017.001.063.006  |  NGEN-4578 | TBD
SE-EI-017.001.065  |  NGEN-4578 | TBD
SE-WE-003.052.000  |  NGEN-4197 | TBD
SE-WE-003.053.000  |  NGEN-4197 | TBD
